Degree,Laser Distance,Intensity,Error,Actual Distance
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5925
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5900
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
1,-492.0,0,8035,5875
